Text,Emotion
I feel extremely happy today,Happy
This is the best day of my life,Happy
I am feeling joyful and excited,Happy
I am so proud of myself,Happy
Everything is going great,Happy
I feel sad and lonely,Sad
I am heartbroken,Sad
Today is a terrible day,Sad
I feel empty inside,Sad
I miss those moments,Sad
I am very angry right now,Angry
This is so frustrating,Angry
I hate this situation,Angry
I am losing my temper,Angry
This makes me furious,Angry
I feel calm and relaxed,Relaxed
Everything feels peaceful,Relaxed
I am at ease,Relaxed
Life feels slow and nice,Relaxed
I feel comfortable,Relaxed
I am scared of what will happen,Fear
This is terrifying,Fear
I feel nervous and anxious,Fear
I am worried about tomorrow,Fear
I feel unsafe,Fear
Wow this is surprising,Surprise
I did not expect that,Surprise
This shocked me,Surprise
What an unexpected moment,Surprise
I am amazed by this,Surprise
I feel disgusted by this,Disgust
This is so gross,Disgust
I cannot stand this,Disgust
This makes me sick,Disgust
That was horrible,Disgust
I feel confused,Confused
I don’t understand anything,Confused
This is puzzling,Confused
I am lost in thoughts,Confused
Nothing makes sense,Confused
I feel motivated and driven,Motivated
I want to achieve my goals,Motivated
I am full of energy,Motivated
I will not give up,Motivated
I am determined to succeed,Motivated
I feel bored,Bored
This is so dull,Bored
Nothing interests me,Bored
I have nothing to do,Bored
This is repetitive,Bored
